year,cut_region,count,population,rate,lo,hi,region_name
2019,1,68.0,368906,18.43287992063019,14.31385251327505,23.368067517478586,Tarapacá
2019,2,110.0,668563,16.453198875797792,13.522528481593463,19.830554043048203,Antofagasta
2019,3,38.0,311307,12.206599915838705,8.638116600396442,16.754512079477685,Atacama
2019,4,107.0,821726,13.021372087532827,10.671328666372464,15.734995275907586,Coquimbo
2019,5,227.0,1935455,11.728508283581897,10.252288011669535,13.357597181240061,Valparaíso
2019,6,89.0,978868,9.09213499675135,7.301730993591654,11.18865448597323,O'Higgins
2019,7,88.0,1118947,7.864536926235113,6.307588587403765,9.689329453714455,Maule
2019,8,367.0,1654744,22.17865724244959,19.967344207394152,24.567947471412847,Biobío
2019,9,108.0,1007965,10.714657751013181,8.789441429889301,12.936233925810802,La Araucanía
2019,10,140.0,884464,15.828795745219704,13.31547369177833,18.67859973959042,Los Lagos
2019,11,15.0,106680,14.060742407199102,7.869690788135839,23.19105630997924,Aysén
2019,12,62.0,175984,35.230475497772524,27.011003549284357,45.16387960027403,Magallanes
2019,13,697.0,7915199,8.80584303692175,8.164153963046244,9.484564930015333,Metropolitana
2019,14,54.0,403413,13.38578578280819,10.055814257979975,17.465546820184453,Los Ríos
2019,15,42.0,247036,17.001570621285964,12.25323666691401,22.981184434046313,Arica y Parinacota
2019,16,120.0,507959,23.623953901791285,19.58660553823019,28.248458117555206,Ñuble
2024,1,228.0,406287,56.117965871416025,49.06960475053166,63.89452247918009,Tarapacá
2024,2,481.0,718232,66.97000412123103,61.11806251232123,73.23110197293715,Antofagasta
2024,3,110.0,319992,34.37585939648491,28.252775723266737,41.43220675105138,Atacama
2024,4,555.0,879267,63.120758540921024,57.97791079693572,68.59748055713852,Coquimbo
2024,5,931.0,2025693,45.95958025228897,43.05438779635472,49.00923051226623,Valparaíso
2024,6,301.0,1025586,29.349074577851102,26.12679261422203,32.85902704215438,O'Higgins
2024,7,489.0,1171982,41.724190303264045,38.10753306742542,45.59156205935457,Maule
2024,8,1090.0,1686225,64.64143278625332,60.86043066379332,68.59583165727963,Biobío
2024,9,570.0,1032164,55.223782267159095,50.78269875447194,59.94922972188242,La Araucanía
2024,10,388.0,912171,42.535884170840774,38.40824687830482,46.98623345747891,Los Lagos
2024,11,75.0,108538,69.1002229633861,54.35170880378434,86.6177278453931,Aysén
2024,12,87.0,183235,47.48001200643982,38.02954322908816,58.56641939723515,Magallanes
2024,13,2754.0,8420729,32.70500689429621,31.494830238421933,33.94977591473899,Metropolitana
2024,14,113.0,412786,27.374959422073424,22.560841080172224,32.91225119821418,Los Ríos
2024,15,184.0,261779,70.28829661661172,60.49881788877857,81.21069577302383,Arica y Parinacota
2024,16,375.0,521711,71.87887546936906,64.7870769708477,79.53507206899873,Ñuble
