era,year,variant,position,panel,horizon_days,n_discharges,n_eligible,n_readmitted_any_cause,n_readmitted_f84,n_with_overlapping_next_admission,pct_any_cause,pct_any_cause_lo,pct_any_cause_hi,pct_f84,pct_f84_lo,pct_f84_hi,unit,denominator,script
2019-2020,2019,con_rett,any,fixed65,30,2381,2381,360,249,7,15.1197,13.737,16.6148,10.4578,9.2917,11.7513,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,any,fixed65,90,2381,2381,520,352,7,21.8396,20.2261,23.5437,14.7837,13.4148,16.2661,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,any,fixed65,365,2381,2381,755,517,7,31.7094,29.871,33.6067,21.7136,20.1038,23.4145,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,any,observed,30,2381,2381,360,249,7,15.1197,13.737,16.6148,10.4578,9.2917,11.7513,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,any,observed,90,2381,2381,520,352,7,21.8396,20.2261,23.5437,14.7837,13.4148,16.2661,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,any,observed,365,2381,2381,755,517,7,31.7094,29.871,33.6067,21.7136,20.1038,23.4145,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,principal,fixed65,30,241,241,60,53,2,24.8963,19.8595,30.7207,21.9917,17.2245,27.6378,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,principal,fixed65,90,241,241,88,80,2,36.5145,30.6916,42.7606,33.195,27.5542,39.3631,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,principal,fixed65,365,241,241,115,101,2,47.7178,41.4972,54.0101,41.9087,35.854,48.2173,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,principal,observed,30,241,241,60,53,2,24.8963,19.8595,30.7207,21.9917,17.2245,27.6378,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,principal,observed,90,241,241,88,80,2,36.5145,30.6916,42.7606,33.195,27.5542,39.3631,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,principal,observed,365,241,241,115,101,2,47.7178,41.4972,54.0101,41.9087,35.854,48.2173,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,secondary_only,fixed65,30,2140,2140,300,196,5,14.0187,12.6121,15.5542,9.1589,8.0089,10.4552,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,secondary_only,fixed65,90,2140,2140,432,272,5,20.1869,18.5404,21.9403,12.7103,11.3655,14.1887,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,secondary_only,fixed65,365,2140,2140,640,416,5,29.9065,28.0041,31.881,19.4393,17.818,21.1701,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,secondary_only,observed,30,2140,2140,300,196,5,14.0187,12.6121,15.5542,9.1589,8.0089,10.4552,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,secondary_only,observed,90,2140,2140,432,272,5,20.1869,18.5404,21.9403,12.7103,11.3655,14.1887,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,con_rett,secondary_only,observed,365,2140,2140,640,416,5,29.9065,28.0041,31.881,19.4393,17.818,21.1701,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,any,fixed65,30,2330,2330,352,241,7,15.1073,13.7107,16.6188,10.3433,9.1714,11.6458,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,any,fixed65,90,2330,2330,510,343,7,21.8884,20.2565,23.6129,14.721,13.3404,16.2178,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,any,fixed65,365,2330,2330,734,498,7,31.5021,29.6477,33.4174,21.3734,19.7567,23.0843,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,any,observed,30,2330,2330,352,241,7,15.1073,13.7107,16.6188,10.3433,9.1714,11.6458,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,any,observed,90,2330,2330,510,343,7,21.8884,20.2565,23.6129,14.721,13.3404,16.2178,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,any,observed,365,2330,2330,734,498,7,31.5021,29.6477,33.4174,21.3734,19.7567,23.0843,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,principal,fixed65,30,228,228,59,52,2,25.8772,20.6252,31.9285,22.807,17.8378,28.6774,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,principal,fixed65,90,228,228,87,79,2,38.1579,32.0981,44.6102,34.6491,28.7729,41.034,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,principal,fixed65,365,228,228,111,97,2,48.6842,42.2721,55.1399,42.5439,36.3021,49.0327,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,principal,observed,30,228,228,59,52,2,25.8772,20.6252,31.9285,22.807,17.8378,28.6774,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,principal,observed,90,228,228,87,79,2,38.1579,32.0981,44.6102,34.6491,28.7729,41.034,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,principal,observed,365,228,228,111,97,2,48.6842,42.2721,55.1399,42.5439,36.3021,49.0327,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,secondary_only,fixed65,30,2102,2102,293,189,5,13.9391,12.5241,15.4856,8.9914,7.8422,10.2903,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,secondary_only,fixed65,90,2102,2102,423,264,5,20.1237,18.465,21.8914,12.5595,11.2107,14.0448,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,secondary_only,fixed65,365,2102,2102,623,401,5,29.6384,27.7248,31.6264,19.0771,17.4544,20.8126,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,secondary_only,observed,30,2102,2102,293,189,5,13.9391,12.5241,15.4856,8.9914,7.8422,10.2903,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,secondary_only,observed,90,2102,2102,423,264,5,20.1237,18.465,21.8914,12.5595,11.2107,14.0448,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,sin_rett,secondary_only,observed,365,2102,2102,623,401,5,29.6384,27.7248,31.6264,19.0771,17.4544,20.8126,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,any,fixed65,30,1398,1398,171,121,4,12.2318,10.6169,14.0536,8.6552,7.2923,10.2448,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,any,fixed65,90,1398,1398,253,183,4,18.0973,16.1674,20.202,13.0901,11.4227,14.9598,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,any,fixed65,365,1398,1398,375,270,4,26.824,24.5674,29.2076,19.3133,17.3292,21.4656,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,any,observed,30,1398,1398,171,121,4,12.2318,10.6169,14.0536,8.6552,7.2923,10.2448,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,any,observed,90,1398,1398,253,183,4,18.0973,16.1674,20.202,13.0901,11.4227,14.9598,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,any,observed,365,1398,1398,375,270,4,26.824,24.5674,29.2076,19.3133,17.3292,21.4656,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,principal,fixed65,30,150,150,41,32,1,27.3333,20.8341,34.9645,21.3333,15.5362,28.5621,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,principal,fixed65,90,150,150,56,45,1,37.3333,29.9998,45.2994,30.0,23.2408,37.758,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,principal,fixed65,365,150,150,69,57,1,46.0,38.2236,53.9762,38.0,30.6237,45.9756,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,principal,observed,30,150,150,41,32,1,27.3333,20.8341,34.9645,21.3333,15.5362,28.5621,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,principal,observed,90,150,150,56,45,1,37.3333,29.9998,45.2994,30.0,23.2408,37.758,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,principal,observed,365,150,150,69,57,1,46.0,38.2236,53.9762,38.0,30.6237,45.9756,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,secondary_only,fixed65,30,1248,1248,130,89,3,10.4167,8.8416,12.2347,7.1314,5.8313,8.6946,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2019-2020,2019,strict_autism_f840,secondary_only,fixed65,90,1248,1248,197,138,3,15.7853,13.8678,17.9127,11.0577,9.4358,12.9185,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
