year,definition,role,sex,age,records
2019,autismo_F840,principal,HOMBRE,2.0,2
2019,autismo_F840,principal,HOMBRE,3.0,5
2019,autismo_F840,principal,HOMBRE,4.0,6
2019,autismo_F840,principal,HOMBRE,5.0,6
2019,autismo_F840,principal,HOMBRE,6.0,6
2019,autismo_F840,principal,HOMBRE,7.0,3
2019,autismo_F840,principal,HOMBRE,8.0,7
2019,autismo_F840,principal,HOMBRE,9.0,4
2019,autismo_F840,principal,HOMBRE,10.0,5
2019,autismo_F840,principal,HOMBRE,11.0,6
2019,autismo_F840,principal,HOMBRE,12.0,11
2019,autismo_F840,principal,HOMBRE,13.0,14
2019,autismo_F840,principal,HOMBRE,14.0,13
2019,autismo_F840,principal,HOMBRE,15.0,9
2019,autismo_F840,principal,HOMBRE,16.0,8
2019,autismo_F840,principal,HOMBRE,17.0,7
2019,autismo_F840,principal,HOMBRE,18.0,4
2019,autismo_F840,principal,HOMBRE,19.0,1
2019,autismo_F840,principal,HOMBRE,20.0,1
2019,autismo_F840,principal,HOMBRE,21.0,1
2019,autismo_F840,principal,HOMBRE,22.0,1
2019,autismo_F840,principal,HOMBRE,23.0,1
2019,autismo_F840,principal,HOMBRE,25.0,2
2019,autismo_F840,principal,HOMBRE,27.0,1
2019,autismo_F840,principal,HOMBRE,29.0,1
2019,autismo_F840,principal,HOMBRE,31.0,1
2019,autismo_F840,principal,HOMBRE,55.0,1
2019,autismo_F840,principal,MUJER,2.0,2
2019,autismo_F840,principal,MUJER,3.0,2
2019,autismo_F840,principal,MUJER,4.0,1
2019,autismo_F840,principal,MUJER,5.0,1
2019,autismo_F840,principal,MUJER,8.0,2
2019,autismo_F840,principal,MUJER,10.0,1
2019,autismo_F840,principal,MUJER,11.0,2
2019,autismo_F840,principal,MUJER,12.0,6
2019,autismo_F840,principal,MUJER,13.0,2
2019,autismo_F840,principal,MUJER,15.0,1
2019,autismo_F840,principal,MUJER,17.0,1
2019,autismo_F840,principal,MUJER,18.0,1
2019,autismo_F840,principal,MUJER,24.0,1
2019,autismo_F840,solo_secundario,HOMBRE,0.0,1
2019,autismo_F840,solo_secundario,HOMBRE,1.0,6
2019,autismo_F840,solo_secundario,HOMBRE,2.0,57
2019,autismo_F840,solo_secundario,HOMBRE,3.0,83
2019,autismo_F840,solo_secundario,HOMBRE,4.0,93
2019,autismo_F840,solo_secundario,HOMBRE,5.0,93
2019,autismo_F840,solo_secundario,HOMBRE,6.0,71
2019,autismo_F840,solo_secundario,HOMBRE,7.0,83
2019,autismo_F840,solo_secundario,HOMBRE,8.0,68
2019,autismo_F840,solo_secundario,HOMBRE,9.0,63
2019,autismo_F840,solo_secundario,HOMBRE,10.0,54
2019,autismo_F840,solo_secundario,HOMBRE,11.0,26
2019,autismo_F840,solo_secundario,HOMBRE,12.0,41
2019,autismo_F840,solo_secundario,HOMBRE,13.0,38
2019,autismo_F840,solo_secundario,HOMBRE,14.0,31
2019,autismo_F840,solo_secundario,HOMBRE,15.0,27
2019,autismo_F840,solo_secundario,HOMBRE,16.0,16
2019,autismo_F840,solo_secundario,HOMBRE,17.0,14
2019,autismo_F840,solo_secundario,HOMBRE,18.0,16
2019,autismo_F840,solo_secundario,HOMBRE,19.0,13
2019,autismo_F840,solo_secundario,HOMBRE,20.0,6
2019,autismo_F840,solo_secundario,HOMBRE,21.0,8
2019,autismo_F840,solo_secundario,HOMBRE,22.0,2
2019,autismo_F840,solo_secundario,HOMBRE,23.0,2
2019,autismo_F840,solo_secundario,HOMBRE,24.0,4
2019,autismo_F840,solo_secundario,HOMBRE,25.0,7
2019,autismo_F840,solo_secundario,HOMBRE,26.0,3
2019,autismo_F840,solo_secundario,HOMBRE,27.0,5
2019,autismo_F840,solo_secundario,HOMBRE,28.0,4
2019,autismo_F840,solo_secundario,HOMBRE,29.0,2
2019,autismo_F840,solo_secundario,HOMBRE,30.0,4
2019,autismo_F840,solo_secundario,HOMBRE,31.0,4
2019,autismo_F840,solo_secundario,HOMBRE,32.0,5
2019,autismo_F840,solo_secundario,HOMBRE,34.0,1
2019,autismo_F840,solo_secundario,HOMBRE,35.0,5
2019,autismo_F840,solo_secundario,HOMBRE,36.0,1
2019,autismo_F840,solo_secundario,HOMBRE,38.0,1
2019,autismo_F840,solo_secundario,HOMBRE,39.0,1
2019,autismo_F840,solo_secundario,HOMBRE,40.0,2
2019,autismo_F840,solo_secundario,HOMBRE,41.0,1
2019,autismo_F840,solo_secundario,HOMBRE,43.0,1
2019,autismo_F840,solo_secundario,HOMBRE,46.0,1
2019,autismo_F840,solo_secundario,HOMBRE,47.0,1
2019,autismo_F840,solo_secundario,HOMBRE,51.0,1
2019,autismo_F840,solo_secundario,HOMBRE,59.0,1
2019,autismo_F840,solo_secundario,HOMBRE,63.0,1
2019,autismo_F840,solo_secundario,MUJER,1.0,3
2019,autismo_F840,solo_secundario,MUJER,2.0,13
2019,autismo_F840,solo_secundario,MUJER,3.0,26
2019,autismo_F840,solo_secundario,MUJER,4.0,16
2019,autismo_F840,solo_secundario,MUJER,5.0,24
2019,autismo_F840,solo_secundario,MUJER,6.0,16
2019,autismo_F840,solo_secundario,MUJER,7.0,13
2019,autismo_F840,solo_secundario,MUJER,8.0,28
2019,autismo_F840,solo_secundario,MUJER,9.0,8
2019,autismo_F840,solo_secundario,MUJER,10.0,16
2019,autismo_F840,solo_secundario,MUJER,11.0,18
2019,autismo_F840,solo_secundario,MUJER,12.0,15
2019,autismo_F840,solo_secundario,MUJER,13.0,16
2019,autismo_F840,solo_secundario,MUJER,14.0,20
2019,autismo_F840,solo_secundario,MUJER,15.0,9
2019,autismo_F840,solo_secundario,MUJER,16.0,2
2019,autismo_F840,solo_secundario,MUJER,17.0,6
2019,autismo_F840,solo_secundario,MUJER,18.0,2
2019,autismo_F840,solo_secundario,MUJER,19.0,6
2019,autismo_F840,solo_secundario,MUJER,20.0,1
2019,autismo_F840,solo_secundario,MUJER,21.0,1
2019,autismo_F840,solo_secundario,MUJER,22.0,4
2019,autismo_F840,solo_secundario,MUJER,23.0,1
2019,autismo_F840,solo_secundario,MUJER,24.0,2
2019,autismo_F840,solo_secundario,MUJER,25.0,1
2019,autismo_F840,solo_secundario,MUJER,27.0,1
2019,autismo_F840,solo_secundario,MUJER,28.0,1
2019,autismo_F840,solo_secundario,MUJER,30.0,2
2019,autismo_F840,solo_secundario,MUJER,31.0,1
2019,autismo_F840,solo_secundario,MUJER,32.0,2
2019,autismo_F840,solo_secundario,MUJER,36.0,1
2019,autismo_F840,solo_secundario,MUJER,44.0,1
2019,autismo_F840,solo_secundario,MUJER,51.0,1
2019,autismo_F840,solo_secundario,MUJER,57.0,3
2019,autismo_F840,solo_secundario,MUJER,68.0,1
2019,autismo_F840,solo_secundario,,11.0,1
2020,autismo_F840,principal,HOMBRE,2.0,1
2020,autismo_F840,principal,HOMBRE,3.0,1
2020,autismo_F840,principal,HOMBRE,4.0,2
2020,autismo_F840,principal,HOMBRE,5.0,2
2020,autismo_F840,principal,HOMBRE,6.0,3
2020,autismo_F840,principal,HOMBRE,7.0,2
2020,autismo_F840,principal,HOMBRE,8.0,1
2020,autismo_F840,principal,HOMBRE,9.0,9
2020,autismo_F840,principal,HOMBRE,10.0,9
2020,autismo_F840,principal,HOMBRE,11.0,6
2020,autismo_F840,principal,HOMBRE,12.0,2
2020,autismo_F840,principal,HOMBRE,13.0,8
2020,autismo_F840,principal,HOMBRE,14.0,6
2020,autismo_F840,principal,HOMBRE,15.0,12
2020,autismo_F840,principal,HOMBRE,16.0,4
2020,autismo_F840,principal,HOMBRE,17.0,6
2020,autismo_F840,principal,HOMBRE,18.0,6
2020,autismo_F840,principal,HOMBRE,19.0,4
2020,autismo_F840,principal,HOMBRE,22.0,2
2020,autismo_F840,principal,HOMBRE,23.0,1
2020,autismo_F840,principal,HOMBRE,25.0,2
2020,autismo_F840,principal,HOMBRE,26.0,1
2020,autismo_F840,principal,HOMBRE,33.0,1
2020,autismo_F840,principal,HOMBRE,34.0,1
2020,autismo_F840,principal,MUJER,4.0,2
2020,autismo_F840,principal,MUJER,6.0,2
2020,autismo_F840,principal,MUJER,10.0,2
2020,autismo_F840,principal,MUJER,11.0,1
2020,autismo_F840,principal,MUJER,12.0,1
2020,autismo_F840,principal,MUJER,13.0,3
2020,autismo_F840,principal,MUJER,14.0,2
2020,autismo_F840,principal,MUJER,15.0,1
2020,autismo_F840,principal,MUJER,16.0,1
2020,autismo_F840,principal,MUJER,17.0,2
2020,autismo_F840,principal,MUJER,18.0,1
2020,autismo_F840,principal,MUJER,21.0,3
2020,autismo_F840,principal,MUJER,22.0,1
2020,autismo_F840,solo_secundario,HOMBRE,0.0,2
2020,autismo_F840,solo_secundario,HOMBRE,1.0,8
2020,autismo_F840,solo_secundario,HOMBRE,2.0,27
2020,autismo_F840,solo_secundario,HOMBRE,3.0,66
2020,autismo_F840,solo_secundario,HOMBRE,4.0,57
2020,autismo_F840,solo_secundario,HOMBRE,5.0,57
2020,autismo_F840,solo_secundario,HOMBRE,6.0,61
2020,autismo_F840,solo_secundario,HOMBRE,7.0,42
2020,autismo_F840,solo_secundario,HOMBRE,8.0,41
2020,autismo_F840,solo_secundario,HOMBRE,9.0,44
2020,autismo_F840,solo_secundario,HOMBRE,10.0,53
2020,autismo_F840,solo_secundario,HOMBRE,11.0,36
2020,autismo_F840,solo_secundario,HOMBRE,12.0,36
2020,autismo_F840,solo_secundario,HOMBRE,13.0,31
2020,autismo_F840,solo_secundario,HOMBRE,14.0,45
2020,autismo_F840,solo_secundario,HOMBRE,15.0,27
2020,autismo_F840,solo_secundario,HOMBRE,16.0,13
2020,autismo_F840,solo_secundario,HOMBRE,17.0,18
2020,autismo_F840,solo_secundario,HOMBRE,18.0,15
2020,autismo_F840,solo_secundario,HOMBRE,19.0,5
2020,autismo_F840,solo_secundario,HOMBRE,20.0,2
2020,autismo_F840,solo_secundario,HOMBRE,21.0,5
2020,autismo_F840,solo_secundario,HOMBRE,22.0,11
2020,autismo_F840,solo_secundario,HOMBRE,23.0,5
2020,autismo_F840,solo_secundario,HOMBRE,25.0,3
2020,autismo_F840,solo_secundario,HOMBRE,26.0,4
2020,autismo_F840,solo_secundario,HOMBRE,27.0,3
2020,autismo_F840,solo_secundario,HOMBRE,29.0,1
2020,autismo_F840,solo_secundario,HOMBRE,30.0,3
2020,autismo_F840,solo_secundario,HOMBRE,31.0,4
2020,autismo_F840,solo_secundario,HOMBRE,32.0,2
2020,autismo_F840,solo_secundario,HOMBRE,33.0,1
2020,autismo_F840,solo_secundario,HOMBRE,34.0,2
2020,autismo_F840,solo_secundario,HOMBRE,35.0,2
2020,autismo_F840,solo_secundario,HOMBRE,36.0,1
2020,autismo_F840,solo_secundario,HOMBRE,40.0,1
2020,autismo_F840,solo_secundario,HOMBRE,41.0,2
2020,autismo_F840,solo_secundario,HOMBRE,44.0,1
2020,autismo_F840,solo_secundario,HOMBRE,45.0,1
2020,autismo_F840,solo_secundario,HOMBRE,46.0,1
2020,autismo_F840,solo_secundario,HOMBRE,50.0,1
2020,autismo_F840,solo_secundario,HOMBRE,66.0,1
2020,autismo_F840,solo_secundario,MUJER,0.0,1
2020,autismo_F840,solo_secundario,MUJER,1.0,3
2020,autismo_F840,solo_secundario,MUJER,2.0,7
2020,autismo_F840,solo_secundario,MUJER,3.0,9
2020,autismo_F840,solo_secundario,MUJER,4.0,25
2020,autismo_F840,solo_secundario,MUJER,5.0,16
2020,autismo_F840,solo_secundario,MUJER,6.0,14
2020,autismo_F840,solo_secundario,MUJER,7.0,10
2020,autismo_F840,solo_secundario,MUJER,8.0,22
2020,autismo_F840,solo_secundario,MUJER,9.0,14
2020,autismo_F840,solo_secundario,MUJER,10.0,7
2020,autismo_F840,solo_secundario,MUJER,11.0,14
2020,autismo_F840,solo_secundario,MUJER,12.0,15
2020,autismo_F840,solo_secundario,MUJER,13.0,14
2020,autismo_F840,solo_secundario,MUJER,14.0,11
2020,autismo_F840,solo_secundario,MUJER,15.0,10
2020,autismo_F840,solo_secundario,MUJER,16.0,7
2020,autismo_F840,solo_secundario,MUJER,17.0,3
2020,autismo_F840,solo_secundario,MUJER,18.0,4
2020,autismo_F840,solo_secundario,MUJER,19.0,2
2020,autismo_F840,solo_secundario,MUJER,24.0,1
2020,autismo_F840,solo_secundario,MUJER,26.0,1
2020,autismo_F840,solo_secundario,MUJER,27.0,1
2020,autismo_F840,solo_secundario,MUJER,28.0,3
2020,autismo_F840,solo_secundario,MUJER,29.0,2
2020,autismo_F840,solo_secundario,MUJER,31.0,2
2020,autismo_F840,solo_secundario,MUJER,33.0,2
2020,autismo_F840,solo_secundario,MUJER,37.0,4
2020,autismo_F840,solo_secundario,MUJER,39.0,1
2020,autismo_F840,solo_secundario,MUJER,40.0,1
2020,autismo_F840,solo_secundario,MUJER,43.0,1
2020,autismo_F840,solo_secundario,MUJER,63.0,1
2020,autismo_F840,solo_secundario,MUJER,72.0,1
2021,autismo_F840,principal,HOMBRE,1.0,1
2021,autismo_F840,principal,HOMBRE,2.0,5
2021,autismo_F840,principal,HOMBRE,3.0,5
2021,autismo_F840,principal,HOMBRE,4.0,1
2021,autismo_F840,principal,HOMBRE,5.0,6
2021,autismo_F840,principal,HOMBRE,6.0,4
2021,autismo_F840,principal,HOMBRE,8.0,6
2021,autismo_F840,principal,HOMBRE,9.0,1
2021,autismo_F840,principal,HOMBRE,10.0,2
2021,autismo_F840,principal,HOMBRE,11.0,4
2021,autismo_F840,principal,HOMBRE,12.0,5
2021,autismo_F840,principal,HOMBRE,13.0,7
2021,autismo_F840,principal,HOMBRE,14.0,6
2021,autismo_F840,principal,HOMBRE,15.0,8
2021,autismo_F840,principal,HOMBRE,16.0,8
2021,autismo_F840,principal,HOMBRE,17.0,2
2021,autismo_F840,principal,HOMBRE,18.0,4
2021,autismo_F840,principal,HOMBRE,19.0,8
2021,autismo_F840,principal,HOMBRE,20.0,4
2021,autismo_F840,principal,HOMBRE,21.0,5
2021,autismo_F840,principal,HOMBRE,22.0,2
2021,autismo_F840,principal,HOMBRE,23.0,1
2021,autismo_F840,principal,HOMBRE,24.0,1
2021,autismo_F840,principal,HOMBRE,25.0,3
2021,autismo_F840,principal,HOMBRE,26.0,3
2021,autismo_F840,principal,HOMBRE,29.0,1
2021,autismo_F840,principal,HOMBRE,30.0,1
2021,autismo_F840,principal,HOMBRE,31.0,3
2021,autismo_F840,principal,HOMBRE,32.0,1
2021,autismo_F840,principal,HOMBRE,34.0,1
2021,autismo_F840,principal,HOMBRE,36.0,2
2021,autismo_F840,principal,HOMBRE,37.0,1
2021,autismo_F840,principal,MUJER,1.0,3
2021,autismo_F840,principal,MUJER,2.0,2
2021,autismo_F840,principal,MUJER,3.0,3
2021,autismo_F840,principal,MUJER,5.0,2
2021,autismo_F840,principal,MUJER,7.0,2
2021,autismo_F840,principal,MUJER,8.0,1
2021,autismo_F840,principal,MUJER,9.0,1
2021,autismo_F840,principal,MUJER,10.0,1
2021,autismo_F840,principal,MUJER,11.0,2
2021,autismo_F840,principal,MUJER,12.0,3
2021,autismo_F840,principal,MUJER,13.0,3
2021,autismo_F840,principal,MUJER,14.0,2
2021,autismo_F840,principal,MUJER,15.0,1
2021,autismo_F840,principal,MUJER,19.0,1
2021,autismo_F840,solo_secundario,HOMBRE,0.0,1
2021,autismo_F840,solo_secundario,HOMBRE,1.0,14
2021,autismo_F840,solo_secundario,HOMBRE,2.0,79
2021,autismo_F840,solo_secundario,HOMBRE,3.0,95
2021,autismo_F840,solo_secundario,HOMBRE,4.0,105
2021,autismo_F840,solo_secundario,HOMBRE,5.0,101
2021,autismo_F840,solo_secundario,HOMBRE,6.0,119
2021,autismo_F840,solo_secundario,HOMBRE,7.0,86
2021,autismo_F840,solo_secundario,HOMBRE,8.0,97
2021,autismo_F840,solo_secundario,HOMBRE,9.0,63
2021,autismo_F840,solo_secundario,HOMBRE,10.0,68
2021,autismo_F840,solo_secundario,HOMBRE,11.0,81
2021,autismo_F840,solo_secundario,HOMBRE,12.0,69
2021,autismo_F840,solo_secundario,HOMBRE,13.0,56
2021,autismo_F840,solo_secundario,HOMBRE,14.0,50
2021,autismo_F840,solo_secundario,HOMBRE,15.0,33
2021,autismo_F840,solo_secundario,HOMBRE,16.0,29
2021,autismo_F840,solo_secundario,HOMBRE,17.0,22
2021,autismo_F840,solo_secundario,HOMBRE,18.0,12
2021,autismo_F840,solo_secundario,HOMBRE,19.0,15
2021,autismo_F840,solo_secundario,HOMBRE,20.0,16
2021,autismo_F840,solo_secundario,HOMBRE,21.0,5
2021,autismo_F840,solo_secundario,HOMBRE,22.0,5
2021,autismo_F840,solo_secundario,HOMBRE,23.0,4
2021,autismo_F840,solo_secundario,HOMBRE,24.0,6
2021,autismo_F840,solo_secundario,HOMBRE,25.0,7
2021,autismo_F840,solo_secundario,HOMBRE,26.0,6
2021,autismo_F840,solo_secundario,HOMBRE,27.0,4
2021,autismo_F840,solo_secundario,HOMBRE,28.0,9
2021,autismo_F840,solo_secundario,HOMBRE,29.0,10
2021,autismo_F840,solo_secundario,HOMBRE,30.0,5
2021,autismo_F840,solo_secundario,HOMBRE,31.0,2
2021,autismo_F840,solo_secundario,HOMBRE,32.0,3
2021,autismo_F840,solo_secundario,HOMBRE,33.0,3
2021,autismo_F840,solo_secundario,HOMBRE,35.0,5
2021,autismo_F840,solo_secundario,HOMBRE,36.0,2
2021,autismo_F840,solo_secundario,HOMBRE,37.0,1
2021,autismo_F840,solo_secundario,HOMBRE,38.0,1
2021,autismo_F840,solo_secundario,HOMBRE,39.0,3
2021,autismo_F840,solo_secundario,HOMBRE,42.0,1
2021,autismo_F840,solo_secundario,HOMBRE,44.0,1
2021,autismo_F840,solo_secundario,HOMBRE,45.0,1
2021,autismo_F840,solo_secundario,HOMBRE,46.0,2
2021,autismo_F840,solo_secundario,HOMBRE,47.0,1
2021,autismo_F840,solo_secundario,HOMBRE,51.0,3
2021,autismo_F840,solo_secundario,HOMBRE,52.0,1
2021,autismo_F840,solo_secundario,HOMBRE,54.0,1
2021,autismo_F840,solo_secundario,HOMBRE,64.0,1
2021,autismo_F840,solo_secundario,HOMBRE,66.0,1
2021,autismo_F840,solo_secundario,HOMBRE,69.0,2
2021,autismo_F840,solo_secundario,HOMBRE,74.0,2
2021,autismo_F840,solo_secundario,HOMBRE,82.0,1
2021,autismo_F840,solo_secundario,MUJER,1.0,7
2021,autismo_F840,solo_secundario,MUJER,2.0,22
2021,autismo_F840,solo_secundario,MUJER,3.0,30
2021,autismo_F840,solo_secundario,MUJER,4.0,21
2021,autismo_F840,solo_secundario,MUJER,5.0,28
2021,autismo_F840,solo_secundario,MUJER,6.0,26
2021,autismo_F840,solo_secundario,MUJER,7.0,14
2021,autismo_F840,solo_secundario,MUJER,8.0,24
2021,autismo_F840,solo_secundario,MUJER,9.0,9
2021,autismo_F840,solo_secundario,MUJER,10.0,13
2021,autismo_F840,solo_secundario,MUJER,11.0,24
2021,autismo_F840,solo_secundario,MUJER,12.0,34
2021,autismo_F840,solo_secundario,MUJER,13.0,37
2021,autismo_F840,solo_secundario,MUJER,14.0,33
2021,autismo_F840,solo_secundario,MUJER,15.0,21
2021,autismo_F840,solo_secundario,MUJER,16.0,6
2021,autismo_F840,solo_secundario,MUJER,17.0,10
2021,autismo_F840,solo_secundario,MUJER,18.0,8
2021,autismo_F840,solo_secundario,MUJER,19.0,4
2021,autismo_F840,solo_secundario,MUJER,20.0,4
2021,autismo_F840,solo_secundario,MUJER,22.0,1
2021,autismo_F840,solo_secundario,MUJER,24.0,1
2021,autismo_F840,solo_secundario,MUJER,25.0,4
2021,autismo_F840,solo_secundario,MUJER,27.0,3
2021,autismo_F840,solo_secundario,MUJER,28.0,3
2021,autismo_F840,solo_secundario,MUJER,31.0,1
2021,autismo_F840,solo_secundario,MUJER,32.0,2
2021,autismo_F840,solo_secundario,MUJER,33.0,1
2021,autismo_F840,solo_secundario,MUJER,35.0,1
2021,autismo_F840,solo_secundario,MUJER,36.0,1
2021,autismo_F840,solo_secundario,MUJER,38.0,1
2021,autismo_F840,solo_secundario,MUJER,41.0,1
2021,autismo_F840,solo_secundario,MUJER,48.0,1
2021,autismo_F840,solo_secundario,MUJER,50.0,1
2021,autismo_F840,solo_secundario,MUJER,52.0,1
2021,autismo_F840,solo_secundario,,6.0,1
2022,autismo_F840,principal,HOMBRE,1.0,1
2022,autismo_F840,principal,HOMBRE,2.0,1
2022,autismo_F840,principal,HOMBRE,3.0,12
2022,autismo_F840,principal,HOMBRE,4.0,7
2022,autismo_F840,principal,HOMBRE,5.0,3
2022,autismo_F840,principal,HOMBRE,6.0,7
2022,autismo_F840,principal,HOMBRE,7.0,4
2022,autismo_F840,principal,HOMBRE,8.0,5
2022,autismo_F840,principal,HOMBRE,9.0,3
2022,autismo_F840,principal,HOMBRE,10.0,7
2022,autismo_F840,principal,HOMBRE,11.0,11
2022,autismo_F840,principal,HOMBRE,12.0,8
2022,autismo_F840,principal,HOMBRE,13.0,9
2022,autismo_F840,principal,HOMBRE,14.0,20
2022,autismo_F840,principal,HOMBRE,15.0,11
2022,autismo_F840,principal,HOMBRE,16.0,7
2022,autismo_F840,principal,HOMBRE,17.0,9
2022,autismo_F840,principal,HOMBRE,18.0,3
2022,autismo_F840,principal,HOMBRE,19.0,1
2022,autismo_F840,principal,HOMBRE,20.0,10
2022,autismo_F840,principal,HOMBRE,21.0,1
2022,autismo_F840,principal,HOMBRE,22.0,3
2022,autismo_F840,principal,HOMBRE,23.0,2
2022,autismo_F840,principal,HOMBRE,26.0,2
2022,autismo_F840,principal,HOMBRE,27.0,1
2022,autismo_F840,principal,HOMBRE,29.0,1
2022,autismo_F840,principal,HOMBRE,30.0,3
2022,autismo_F840,principal,HOMBRE,36.0,1
2022,autismo_F840,principal,HOMBRE,38.0,1
2022,autismo_F840,principal,HOMBRE,47.0,1
2022,autismo_F840,principal,MUJER,2.0,1
2022,autismo_F840,principal,MUJER,3.0,1
2022,autismo_F840,principal,MUJER,4.0,1
2022,autismo_F840,principal,MUJER,6.0,2
2022,autismo_F840,principal,MUJER,7.0,1
2022,autismo_F840,principal,MUJER,9.0,1
2022,autismo_F840,principal,MUJER,10.0,1
2022,autismo_F840,principal,MUJER,11.0,8
2022,autismo_F840,principal,MUJER,12.0,7
2022,autismo_F840,principal,MUJER,13.0,8
2022,autismo_F840,principal,MUJER,14.0,7
2022,autismo_F840,principal,MUJER,15.0,3
2022,autismo_F840,principal,MUJER,16.0,2
2022,autismo_F840,principal,MUJER,17.0,1
2022,autismo_F840,principal,MUJER,19.0,1
2022,autismo_F840,principal,MUJER,26.0,1
2022,autismo_F840,principal,MUJER,31.0,1
2022,autismo_F840,solo_secundario,HOMBRE,0.0,2
2022,autismo_F840,solo_secundario,HOMBRE,1.0,33
2022,autismo_F840,solo_secundario,HOMBRE,2.0,121
2022,autismo_F840,solo_secundario,HOMBRE,3.0,193
2022,autismo_F840,solo_secundario,HOMBRE,4.0,218
2022,autismo_F840,solo_secundario,HOMBRE,5.0,207
2022,autismo_F840,solo_secundario,HOMBRE,6.0,173
2022,autismo_F840,solo_secundario,HOMBRE,7.0,144
2022,autismo_F840,solo_secundario,HOMBRE,8.0,150
2022,autismo_F840,solo_secundario,HOMBRE,9.0,111
2022,autismo_F840,solo_secundario,HOMBRE,10.0,96
2022,autismo_F840,solo_secundario,HOMBRE,11.0,102
2022,autismo_F840,solo_secundario,HOMBRE,12.0,74
2022,autismo_F840,solo_secundario,HOMBRE,13.0,96
2022,autismo_F840,solo_secundario,HOMBRE,14.0,92
2022,autismo_F840,solo_secundario,HOMBRE,15.0,76
2022,autismo_F840,solo_secundario,HOMBRE,16.0,51
2022,autismo_F840,solo_secundario,HOMBRE,17.0,27
2022,autismo_F840,solo_secundario,HOMBRE,18.0,24
2022,autismo_F840,solo_secundario,HOMBRE,19.0,20
2022,autismo_F840,solo_secundario,HOMBRE,20.0,15
2022,autismo_F840,solo_secundario,HOMBRE,21.0,10
2022,autismo_F840,solo_secundario,HOMBRE,22.0,6
2022,autismo_F840,solo_secundario,HOMBRE,23.0,5
2022,autismo_F840,solo_secundario,HOMBRE,24.0,10
2022,autismo_F840,solo_secundario,HOMBRE,25.0,3
2022,autismo_F840,solo_secundario,HOMBRE,26.0,10
2022,autismo_F840,solo_secundario,HOMBRE,27.0,6
2022,autismo_F840,solo_secundario,HOMBRE,28.0,10
2022,autismo_F840,solo_secundario,HOMBRE,29.0,8
2022,autismo_F840,solo_secundario,HOMBRE,30.0,2
2022,autismo_F840,solo_secundario,HOMBRE,31.0,8
2022,autismo_F840,solo_secundario,HOMBRE,32.0,7
2022,autismo_F840,solo_secundario,HOMBRE,33.0,3
2022,autismo_F840,solo_secundario,HOMBRE,34.0,2
2022,autismo_F840,solo_secundario,HOMBRE,35.0,2
2022,autismo_F840,solo_secundario,HOMBRE,36.0,1
2022,autismo_F840,solo_secundario,HOMBRE,37.0,6
2022,autismo_F840,solo_secundario,HOMBRE,38.0,5
2022,autismo_F840,solo_secundario,HOMBRE,39.0,1
2022,autismo_F840,solo_secundario,HOMBRE,40.0,1
2022,autismo_F840,solo_secundario,HOMBRE,41.0,2
2022,autismo_F840,solo_secundario,HOMBRE,42.0,2
2022,autismo_F840,solo_secundario,HOMBRE,43.0,3
2022,autismo_F840,solo_secundario,HOMBRE,44.0,1
2022,autismo_F840,solo_secundario,HOMBRE,47.0,2
2022,autismo_F840,solo_secundario,HOMBRE,48.0,2
2022,autismo_F840,solo_secundario,HOMBRE,53.0,1
2022,autismo_F840,solo_secundario,HOMBRE,60.0,1
2022,autismo_F840,solo_secundario,HOMBRE,63.0,1
2022,autismo_F840,solo_secundario,HOMBRE,78.0,1
2022,autismo_F840,solo_secundario,MUJER,1.0,11
2022,autismo_F840,solo_secundario,MUJER,2.0,49
2022,autismo_F840,solo_secundario,MUJER,3.0,64
2022,autismo_F840,solo_secundario,MUJER,4.0,66
2022,autismo_F840,solo_secundario,MUJER,5.0,44
2022,autismo_F840,solo_secundario,MUJER,6.0,28
2022,autismo_F840,solo_secundario,MUJER,7.0,27
2022,autismo_F840,solo_secundario,MUJER,8.0,31
2022,autismo_F840,solo_secundario,MUJER,9.0,25
2022,autismo_F840,solo_secundario,MUJER,10.0,16
2022,autismo_F840,solo_secundario,MUJER,11.0,22
2022,autismo_F840,solo_secundario,MUJER,12.0,46
2022,autismo_F840,solo_secundario,MUJER,13.0,55
2022,autismo_F840,solo_secundario,MUJER,14.0,67
2022,autismo_F840,solo_secundario,MUJER,15.0,37
2022,autismo_F840,solo_secundario,MUJER,16.0,26
2022,autismo_F840,solo_secundario,MUJER,17.0,24
2022,autismo_F840,solo_secundario,MUJER,18.0,14
2022,autismo_F840,solo_secundario,MUJER,19.0,4
2022,autismo_F840,solo_secundario,MUJER,20.0,4
2022,autismo_F840,solo_secundario,MUJER,21.0,2
2022,autismo_F840,solo_secundario,MUJER,22.0,5
2022,autismo_F840,solo_secundario,MUJER,23.0,8
2022,autismo_F840,solo_secundario,MUJER,24.0,4
2022,autismo_F840,solo_secundario,MUJER,25.0,5
2022,autismo_F840,solo_secundario,MUJER,26.0,1
2022,autismo_F840,solo_secundario,MUJER,27.0,1
2022,autismo_F840,solo_secundario,MUJER,28.0,2
2022,autismo_F840,solo_secundario,MUJER,29.0,3
2022,autismo_F840,solo_secundario,MUJER,31.0,3
2022,autismo_F840,solo_secundario,MUJER,33.0,2
2022,autismo_F840,solo_secundario,MUJER,34.0,1
2022,autismo_F840,solo_secundario,MUJER,35.0,1
2022,autismo_F840,solo_secundario,MUJER,36.0,2
2022,autismo_F840,solo_secundario,MUJER,37.0,2
2022,autismo_F840,solo_secundario,MUJER,41.0,1
